missing_slug	score	suggested_content_id	suggested_building_name	content_url
gedung-jaga	0.91		Gedung Jaya	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/286
gedung-jaga	0.75		Gedung Tranka	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/532
gedung-mutiara	1.00		Plaza Mutiara	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/392
gedung-mutiara	1.00		Mutiara Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/15
gedung-mutiara	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
gold-coast-office-tower	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
gold-coast-office-tower	0.88		Eiffel Tower (Gold Coast Office Tower)	
gold-coast-office-tower	0.74		PuloMas Office Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/526
graha-adhi-media	0.97		Grha Adhi Media	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/267
graha-adhi-media	0.69		Graha Arda	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/364
graha-adhi-media	0.67		Graha Irama	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/366
graha-codefin	0.88		Kedutaan Besar Kerajaan Arab Saudi (Ex Graha Codefin)	
graha-codefin	0.70		Graha Pena	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/550
graha-codefin	0.70		Graha Inti	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/64
graha-fif	0.88		Menara FIF	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/486
graha-fif	0.78		Graha BIP	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/342
graha-fif	0.78		Graha MIR	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/521
graha-kirana	0.88		Gedung Samudera Kirana (Ex Graha Kirana)	
graha-kirana	0.87		Graha Irama	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/366
graha-kirana	0.83		Graha Kanaan	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/121
graha-xl	0.74		Graha Multi	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/8
graha-xl	0.71		Graha BIP	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/342
graha-xl	0.71		Graha STR	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/319
green-office-park-1	0.95		Green Office Park 9	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/569
green-office-park-1	0.88		Park Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/312
green-office-park-1	0.88		Green Office Park 1 South Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/314
hermina-office-building	0.88		Hermina Tower 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/510
hermina-office-building	0.88		Hermina Tower 2	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/116
hermina-office-building	0.81		Margonda Office Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/292
honeylady-tower	0.88		One Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/79
honeylady-tower	0.78		The Honey Lady	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/156
honeylady-tower	0.69		Yodya Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/266
indonesia-satu	0.88		Menara Satu	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/317
indonesia-satu	0.88		One Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/79
indonesia-satu	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
international-financial-center-tower-2	0.97		International Financial Center	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/410
international-financial-center-tower-2	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
international-financial-center-tower-2	0.88		NT Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/596
jayatama-plaza	0.88		Gedung Jaya	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/286
jayatama-plaza	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
jayatama-plaza	0.88		Menara Tekno (Ex Jayatama Plaza)	
kebayoran-icon	1.00		Kebayoran Icon Office Building	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/106
kebayoran-icon	0.88		Kebayoran Icon Mini Office	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/274
kebayoran-icon	0.64		Menara Citicon	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/95
kota-kasablanka-88-kasablanka-tower-a	0.88		Office 8	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/144
kota-kasablanka-88-kasablanka-tower-a	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
kota-kasablanka-88-kasablanka-tower-a	0.61		88 @ Kota Kasablanka	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/460
kota-kasablanka-tower-b-prudential-center	0.88		Prudential Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/295
